	time_stamp	RAM Total	RAM Used	RAM Cache	RAM Free	SWAP Used	DateTime
0	1675167030.781	968.828Mb	238.418Mb	439.043Mb	291.367Mb	0.000Mb	2023-01-31 14:10:30.781
1	1675167045.781	968.828Mb	238.418Mb	439.043Mb	291.367Mb	0.000Mb	2023-01-31 14:10:45.781
2	1675167060.781	968.828Mb	238.418Mb	439.043Mb	291.367Mb	0.000Mb	2023-01-31 14:11:00.781
3	1675167075.781	968.828Mb	238.418Mb	439.043Mb	291.367Mb	0.000Mb	2023-01-31 14:11:15.781
4	1675167090.781	968.828Mb	238.418Mb	439.043Mb	291.367Mb	0.000Mb	2023-01-31 14:11:30.781
5	1675167105.781	968.828Mb	238.621Mb	439.059Mb	291.148Mb	0.000Mb	2023-01-31 14:11:45.781
6	1675167120.781	968.828Mb	243.195Mb	439.887Mb	285.746Mb	0.000Mb	2023-01-31 14:12:00.781
7	1675167135.781	968.828Mb	239.488Mb	439.902Mb	289.438Mb	0.000Mb	2023-01-31 14:12:15.781
8	1675167150.781	968.828Mb	247.828Mb	439.918Mb	281.082Mb	0.000Mb	2023-01-31 14:12:30.781
9	1675167165.781	968.828Mb	248.266Mb	439.934Mb	280.629Mb	0.000Mb	2023-01-31 14:12:45.781
10	1675167180.781	968.828Mb	249.695Mb	439.953Mb	279.180Mb	0.000Mb	2023-01-31 14:13:00.781
11	1675167195.781	968.828Mb	249.688Mb	439.961Mb	279.180Mb	0.000Mb	2023-01-31 14:13:15.781
12	1675167210.781	968.828Mb	249.688Mb	439.961Mb	279.180Mb	0.000Mb	2023-01-31 14:13:30.781
13	1675167225.781	968.828Mb	249.906Mb	439.961Mb	278.961Mb	0.000Mb	2023-01-31 14:13:45.781
14	1675167240.781	968.828Mb	249.906Mb	439.961Mb	278.961Mb	0.000Mb	2023-01-31 14:14:00.781
15	1675167255.781	968.828Mb	249.973Mb	440.605Mb	278.250Mb	0.000Mb	2023-01-31 14:14:15.781
16	1675167270.781	968.828Mb	243.031Mb	440.758Mb	285.039Mb	0.000Mb	2023-01-31 14:14:30.781
17	1675167285.781	968.828Mb	243.719Mb	440.770Mb	284.340Mb	0.000Mb	2023-01-31 14:14:45.781
18	1675167300.781	968.828Mb	243.711Mb	440.777Mb	284.340Mb	0.000Mb	2023-01-31 14:15:00.781
19	1675167315.781	968.828Mb	243.953Mb	440.777Mb	284.098Mb	0.000Mb	2023-01-31 14:15:15.781
20	1675167330.781	968.828Mb	243.953Mb	440.777Mb	284.098Mb	0.000Mb	2023-01-31 14:15:30.781
21	1675167345.781	968.828Mb	243.953Mb	440.777Mb	284.098Mb	0.000Mb	2023-01-31 14:15:45.781
22	1675167360.781	968.828Mb	244.410Mb	440.785Mb	283.633Mb	0.000Mb	2023-01-31 14:16:00.781
23	1675167375.781	968.828Mb	245.148Mb	440.785Mb	282.895Mb	0.000Mb	2023-01-31 14:16:15.781
24	1675167390.781	968.828Mb	244.902Mb	440.785Mb	283.141Mb	0.000Mb	2023-01-31 14:16:30.781
25	1675167405.781	968.828Mb	245.395Mb	440.785Mb	282.648Mb	0.000Mb	2023-01-31 14:16:45.781
26	1675167420.781	968.828Mb	245.605Mb	440.793Mb	282.430Mb	0.000Mb	2023-01-31 14:17:00.781
27	1675167435.781	968.828Mb	245.582Mb	440.816Mb	282.430Mb	0.000Mb	2023-01-31 14:17:15.781
28	1675167450.781	968.828Mb	244.590Mb	440.824Mb	283.414Mb	0.000Mb	2023-01-31 14:17:30.781
